x	y	z
40	11719.1	292.98
11	1197.7	108.89
25	3881.0	155.24
14	1984.0	141.71
9	919.2	102.14
49	8547.4	174.44
12	836.8	69.74
159	31099.4	195.59
3	366.1	122.04
286	68191.5	238.43
648	196566.6	303.34
104	20797.4	199.97
6	1612.9	268.82
40	8150.5	203.76
21	5272.2	251.06
28	8493.3	303.33
53	4257.7	80.33
84	23801.5	283.35
66	13768.0	208.61
223	53711.5	240.86
115	16755.5	145.70
161	45538.8	282.85
1891	599493.0	317.02
55	11902.4	216.41
75	12692.3	169.23
399	155529.8	389.80
154	35516.4	230.63
17	4252.6	250.15
131	37831.5	288.79
411	115554.9	281.16
65	21786.3	335.17
118	11867.8	100.57
184	59389.2	322.77
258	71396.6	276.73
106	15035.9	141.85
206	49860.9	242.04
67	12283.5	183.34
418	195394.7	467.45
83	24476.6	294.90
136	29014.8	213.34
7	2290.4	327.20
34	7643.2	224.80
41	12415.4	302.81
48	13412.5	279.43
31	2271.8	73.28
19	4349.0	228.89
10	1359.8	135.98
48	7397.1	154.11
12	2222.1	185.18
598	166728.6	278.81
41	10686.3	260.64
184	34630.8	188.21
18	2167.0	120.39
6	1093.9	182.32
11	1312.1	119.28
3	273.9	91.30
93	19875.9	213.72
31	4531.3	146.17
31	4592.9	148.16
19	2885.0	151.84
33	6672.1	202.18
1212	328999.8	271.45
150	22247.4	148.32
4	255.8	63.95
203	58393.8	287.65
190	50405.9	265.29
48	8301.1	172.94
45	7947.9	176.62
38	5222.8	137.44
72	8458.9	117.49
171	30950.4	181.00
8	588.6	73.57
145	32413.8	223.54
25	3459.0	138.36
43	8010.7	186.29
13	2576.8	198.22
547	161919.9	296.01
106	27292.2	257.47
14	1273.7	90.98
122	28696.1	235.21
7	332.8	47.54
29	5046.4	174.01
17	2007.0	118.06
8	1400.7	175.09
17	2110.6	124.15
18	2649.9	147.22
45	9463.5	210.30
18	2719.4	151.08
603	176808.7	293.22
21	1601.3	76.25
442	112701.5	254.98
4	511.2	127.79
11	1593.0	144.81
8	1168.4	146.05
16	3367.9	210.50
84	9249.4	110.11
37	4773.9	129.02
17	2731.4	160.67
19	2216.4	116.65
19	1640.3	86.33
30	4393.5	146.45
8	640.8	80.10
15	2497.1	166.47
73	12532.2	171.67
1627	523013.7	321.46
22	2701.6	122.80
42	7424.0	176.76
473	88878.5	187.90
2	319.0	159.48
51	7867.0	154.26
27	5590.8	207.07
45	5350.2	118.89
6	1546.1	257.68
26	2948.6	113.41
6	951.1	158.52
22	5476.0	248.91
28	8005.2	285.90
48	4901.5	102.11
113	26439.5	233.98
31	3980.7	128.41
25	3861.4	154.45
44	6475.0	147.16
7	1070.5	152.93
21	2908.9	138.52
47	6397.0	136.11
94	11880.1	126.38
40	6088.8	152.22
200	39829.0	199.15
48	9019.9	187.91
