CarrierCode,FlightID,TailID,Departure,Arrival,Scheduled_Departure_Date,Equipment_Code,Actual_Gate_In,Min_Between_Arrivals
SWA,238,SWA238,LAX,OAK,9/12/2007,B733,7:18,5
SWA,1700,SWA1700,RNO,OAK,9/12/2007,B733,7:31,13
BTA,7803,BTA7803,LAX,OAK,9/12/2007,E45X,7:33,2
SWA,654,SWA654,SLC,OAK,9/12/2007,B733,7:41,8
SWA,3226,SWA3226,ONT,OAK,9/12/2007,B737,7:44,3
SKW,6525,SKW6525,LAX,OAK,9/12/2007,CRJ2,7:50,6
SWA,357,SWA357,BOI,OAK,9/12/2007,B737,7:59,9
SWA,171,SWA171,BUR,OAK,9/12/2007,B733,8:01,2
SWA,1198,SWA1198,LAS,OAK,9/12/2007,B733,8:03,2
SWA,1934,SWA1934,SAN,OAK,9/12/2007,B737,8:05,2
SWA,2841,SWA2841,SEA,OAK,9/12/2007,B737,8:08,3
JBU,242,JBU242,LGB,OAK,9/12/2007,A320,8:10,2
SWA,955,SWA955,LAX,OAK,9/12/2007,B733,8:12,2
SWA,2139,SWA2139,ONT,OAK,9/12/2007,B733,8:16,4
SWA,3075,SWA3075,SNA,OAK,9/12/2007,B737,8:23,7
ASA,355,ASA355,SNA,OAK,9/12/2007,B734,8:29,6
SWA,233,SWA233,SAN,OAK,9/12/2007,B737,8:30,1
SWA,1526,SWA1526,BUR,OAK,9/12/2007,B733,8:33,3
SWA,1597,SWA1597,PDX,OAK,9/12/2007,B733,8:40,7
SWA,1613,SWA1613,LAS,OAK,9/12/2007,B737,8:42,2
SWA,1164,SWA1164,ABQ,OAK,9/12/2007,B733,8:49,7
SWA,752,SWA752,MDW,OAK,9/12/2007,B737,8:50,1
JBU,315,JBU315,IAD,OAK,9/12/2007,A320,8:56,6
QXE,2575,QXE2575,PDX,OAK,9/12/2007,CRJ7,8:59,3
SWA,1783,SWA1783,LAX,OAK,9/12/2007,B733,9:07,8
SWA,185,SWA185,ONT,OAK,9/12/2007,B737,9:13,6
ASH,2774,ASH2774,PHX,OAK,9/12/2007,CRJ9,9:17,4
SWA,453,SWA453,GEG,OAK,9/12/2007,B737,9:26,9
SWA,2694,SWA2694,SAN,OAK,9/12/2007,B737,9:28,2
SWA,3236,SWA3236,LAX,OAK,9/12/2007,B737,9:33,5
SWA,776,SWA776,SEA,OAK,9/12/2007,B737,9:36,3
SWA,1788,SWA1788,DEN,OAK,9/12/2007,B737,9:41,5
AMT,4627,AMT4627,MDW,OAK,9/12/2007,B738,9:44,3
SKW,78,SKW78W,SLC,OAK,9/12/2007,CRJ2,9:48,4
ASA,412,ASA412,SEA,OAK,9/12/2007,MD83,10:00,12
SWA,148,SWA148,SNA,OAK,9/12/2007,B737,10:02,2
SWA,1121,SWA1121,BUR,OAK,9/12/2007,B737,10:03,1
SWA,833,SWA833,LAX,OAK,9/12/2007,B737,10:05,2
SWA,714,SWA714,PDX,OAK,9/12/2007,B737,10:08,3
SWA,784,SWA784,SAN,OAK,9/12/2007,B733,10:13,5
SWA,3162,SWA3162,PHX,OAK,9/12/2007,B735,10:20,7
SWA,402,SWA402,LAS,OAK,9/12/2007,B733,10:22,2
SWA,135,SWA135,MCI,OAK,9/12/2007,B733,10:31,9
SWA,2647,SWA2647,RNO,OAK,9/12/2007,B733,10:33,2
SWA,307,SWA307,BUR,OAK,9/12/2007,B737,10:40,7
SWA,916,SWA916,SAN,OAK,9/12/2007,B733,10:44,4
ASA,353,ASA353,SNA,OAK,9/12/2007,B734,10:45,1
DAL,1877,*******,ATL,OAK,9/12/2007,B752,10:54,9
AAL,1991,*******,DFW,OAK,9/12/2007,MD82,10:56,2
COA,673,*******,IAH,OAK,9/12/2007,B738,10:59,3
SWA,95,SWA95,LAX,OAK,9/12/2007,B735,11:08,9
JBU,475,JBU475,BOS,OAK,9/12/2007,A320,11:11,3
SWA,2121,SWA2121,BUR,OAK,9/12/2007,B737,11:14,3
JBU,244,JBU244,LGB,OAK,9/12/2007,A320,11:18,4
SWA,1184,SWA1184,ONT,OAK,9/12/2007,B737,11:22,4
SWA,1506,SWA1506,LAS,OAK,9/12/2007,B733,11:30,8
SWA,1109,SWA1109,SNA,OAK,9/12/2007,B737,11:32,2
BTA,7813,BTA7813,LAX,OAK,9/12/2007,E145,11:38,6
SWA,342,SWA342,HOU,OAK,9/12/2007,B737,11:41,3
SWA,2843,SWA2843,SEA,OAK,9/12/2007,B733,11:52,11
SWA,247,SWA247,SLC,OAK,9/12/2007,B733,11:56,4
